VREME         KORISNIK   PID     RODITELJ         ISHOD     TRAJANJE   KOMANDA
10:06:15.794  kali       2647    xfce4-panel-gen  OK        100.2      /usr/bin/cut
10:06:15.794  kali       2648    xfce4-panel-gen  OK        86.0       /usr/bin/head
10:06:15.794  kali       2646    xfce4-panel-gen  OK        108.4      /usr/sbin/ip
10:06:15.795  kali       2651    xfce4-panel-gen  OK        82.8       /usr/bin/grep
10:06:15.795  kali       2650    xfce4-panel-gen  OK        86.4       /usr/sbin/ip
10:06:16.958  kali       2652    wrapper-2.0      OK        1031.2     /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:16.966  kali       2656    xfce4-panel-gen  OK        212.4      /usr/bin/head
10:06:16.967  kali       2654    xfce4-panel-gen  OK        233.5      /usr/sbin/ip
10:06:16.967  kali       2655    xfce4-panel-gen  OK        631.9      /usr/bin/cut
10:06:16.969  kali       2658    xfce4-panel-gen  OK        155.0      /usr/sbin/ip
10:06:16.971  kali       2659    xfce4-panel-gen  OK        370.3      /usr/bin/grep
10:06:17.628  kali       2671    zsh              ENOENT    9.9        /home/kali/.local/bin/lfafaf
10:06:17.629  kali       2671    zsh              ENOENT    3.6        /usr/local/sbin/lfafaf
10:06:17.629  kali       2671    zsh              ENOENT    3.1        /usr/sbin/lfafaf
10:06:17.630  kali       2671    zsh              ENOENT    3.6        /sbin/lfafaf
10:06:17.630  kali       2671    zsh              ENOENT    2.6        /usr/local/bin/lfafaf
10:06:17.630  kali       2671    zsh              ENOENT    2.0        /usr/bin/lfafaf
10:06:17.631  kali       2671    zsh              ENOENT    2.4        /bin/lfafaf
10:06:17.631  kali       2671    zsh              ENOENT    3.0        /usr/local/games/lfafaf
10:06:17.631  kali       2671    zsh              ENOENT    2.3        /usr/games/lfafaf
10:06:17.632  kali       2671    zsh              ENOENT    2.7        /home/kali/.dotnet/tools/lfafaf
10:06:17.639  kali       2672    zsh              OK        6791.7     /usr/lib/command-not-found
10:06:17.956  kali       2674    wrapper-2.0      OK        754.9      /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:17.959  kali       2676    xfce4-panel-gen  OK        309.3      /usr/sbin/ip
10:06:17.959  kali       2677    xfce4-panel-gen  OK        139.7      /usr/bin/cut
10:06:17.959  kali       2678    xfce4-panel-gen  OK        127.8      /usr/bin/head
10:06:17.962  kali       2681    xfce4-panel-gen  OK        94.3       /usr/bin/grep
10:06:17.963  kali       2680    xfce4-panel-gen  OK        87.5       /usr/sbin/ip
10:06:18.967  kali       2683    wrapper-2.0      OK        2781.1     /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:18.967  kali       2686    xfce4-panel-gen  OK        88.6       /usr/sbin/ip
10:06:18.967  kali       2687    xfce4-panel-gen  OK        91.8       /usr/bin/cut
10:06:18.967  kali       2688    xfce4-panel-gen  OK        204.6      /usr/bin/head
10:06:18.969  kali       2690    xfce4-panel-gen  OK        96.2       /usr/sbin/ip
10:06:18.969  kali       2691    xfce4-panel-gen  OK        80.7       /usr/bin/grep
10:06:19.103  kali       2692    zsh              OK        341.8      /usr/bin/ls
10:06:20.104  kali       2694    wrapper-2.0      OK        1687.4     /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:20.110  kali       2698    xfce4-panel-gen  OK        142.2      /usr/bin/head
10:06:20.111  kali       2697    xfce4-panel-gen  OK        157.0      /usr/bin/cut
10:06:20.111  kali       2696    xfce4-panel-gen  OK        94.5       /usr/sbin/ip
10:06:20.120  kali       2700    xfce4-panel-gen  OK        183.7      /usr/sbin/ip
10:06:20.120  kali       2701    xfce4-panel-gen  OK        109.0      /usr/bin/grep
10:06:21.373  kali       2702    wrapper-2.0      OK        2501.6     /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:21.376  kali       2705    xfce4-panel-gen  OK        111.0      /usr/bin/cut
10:06:21.376  kali       2704    xfce4-panel-gen  OK        115.1      /usr/sbin/ip
10:06:21.378  kali       2706    xfce4-panel-gen  OK        215.6      /usr/bin/head
10:06:21.381  kali       2709    xfce4-panel-gen  OK        88.4       /usr/bin/grep
10:06:21.381  kali       2708    xfce4-panel-gen  OK        95.5       /usr/sbin/ip
10:06:22.381  kali       2719    wrapper-2.0      OK        1128.2     /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:22.386  kali       2723    xfce4-panel-gen  OK        216.9      /usr/bin/head
10:06:22.386  kali       2721    xfce4-panel-gen  OK        271.6      /usr/sbin/ip
10:06:22.386  kali       2722    xfce4-panel-gen  OK        489.2      /usr/bin/cut
10:06:22.391  kali       2726    xfce4-panel-gen  OK        687.7      /usr/bin/grep
10:06:22.391  kali       2725    xfce4-panel-gen  OK        122.8      /usr/sbin/ip
10:06:22.653  kali       2729    zsh              OK        3784.1     /usr/bin/touch
10:06:23.380  kali       2736    wrapper-2.0      OK        496.9      /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:23.382  kali       2738    xfce4-panel-gen  OK        208.9      /usr/sbin/ip
10:06:23.382  kali       2739    xfce4-panel-gen  OK        106.3      /usr/bin/cut
10:06:23.383  kali       2740    xfce4-panel-gen  OK        81.9       /usr/bin/head
10:06:23.386  kali       2743    xfce4-panel-gen  OK        78.7       /usr/bin/grep
10:06:23.386  kali       2742    xfce4-panel-gen  OK        88.3       /usr/sbin/ip
10:06:24.382  kali       2748    wrapper-2.0      OK        1169.1     /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:24.388  kali       2752    xfce4-panel-gen  OK        231.9      /usr/bin/head
10:06:24.388  kali       2750    xfce4-panel-gen  OK        245.1      /usr/sbin/ip
10:06:24.389  kali       2751    xfce4-panel-gen  OK        3121.2     /usr/bin/cut
10:06:24.392  kali       2755    xfce4-panel-gen  OK        137.2      /usr/bin/grep
10:06:24.392  kali       2754    xfce4-panel-gen  OK        146.9      /usr/sbin/ip
10:06:24.640  kali       2756    zsh              OK        755.8      /usr/bin/rm
10:06:25.402  kali       2763    wrapper-2.0      OK        984.4      /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:25.408  kali       2766    xfce4-panel-gen  OK        352.2      /usr/bin/cut
10:06:25.408  kali       2765    xfce4-panel-gen  OK        133.2      /usr/sbin/ip
10:06:25.408  kali       2767    xfce4-panel-gen  OK        107.1      /usr/bin/head
10:06:25.411  kali       2769    xfce4-panel-gen  OK        120.7      /usr/sbin/ip
10:06:25.413  kali       2770    xfce4-panel-gen  OK        236.2      /usr/bin/grep
10:06:26.416  kali       2771    wrapper-2.0      OK        874.1      /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:26.423  kali       2773    xfce4-panel-gen  OK        238.8      /usr/sbin/ip
10:06:26.423  kali       2774    xfce4-panel-gen  OK        194.7      /usr/bin/cut
10:06:26.423  kali       2775    xfce4-panel-gen  OK        160.7      /usr/bin/head
10:06:26.425  kali       2778    xfce4-panel-gen  OK        107.2      /usr/bin/grep
10:06:26.426  kali       2777    xfce4-panel-gen  OK        113.3      /usr/sbin/ip
10:06:27.422  kali       2779    wrapper-2.0      OK        1007.7     /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:27.430  kali       2783    xfce4-panel-gen  OK        288.7      /usr/bin/head
10:06:27.434  kali       2782    xfce4-panel-gen  OK        242.2      /usr/bin/cut
10:06:27.435  kali       2781    xfce4-panel-gen  OK        349.1      /usr/sbin/ip
10:06:27.456  kali       2786    xfce4-panel-gen  OK        768.7      /usr/bin/grep
10:06:27.457  kali       2785    xfce4-panel-gen  OK        3212.5     /usr/sbin/ip
10:06:28.424  kali       2787    wrapper-2.0      OK        947.0      /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:28.431  kali       2790    xfce4-panel-gen  OK        460.2      /usr/bin/cut
10:06:28.431  kali       2791    xfce4-panel-gen  OK        297.0      /usr/bin/head
10:06:28.431  kali       2789    xfce4-panel-gen  OK        845.1      /usr/sbin/ip
10:06:28.449  kali       2794    xfce4-panel-gen  OK        405.6      /usr/bin/grep
10:06:28.450  kali       2793    xfce4-panel-gen  OK        339.3      /usr/sbin/ip
10:06:29.570  kali       2795    wrapper-2.0      OK        851.0      /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:29.575  kali       2798    xfce4-panel-gen  OK        238.3      /usr/bin/cut
10:06:29.575  kali       2797    xfce4-panel-gen  OK        245.9      /usr/sbin/ip
10:06:29.586  kali       2799    xfce4-panel-gen  OK        5072.0     /usr/bin/head
10:06:29.604  kali       2802    xfce4-panel-gen  OK        1569.1     /usr/bin/grep
10:06:29.604  kali       2801    xfce4-panel-gen  OK        1380.8     /usr/sbin/ip
10:06:30.578  kali       2803    wrapper-2.0      OK        1094.7     /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:30.586  kali       2805    xfce4-panel-gen  OK        244.5      /usr/sbin/ip
10:06:30.587  kali       2806    xfce4-panel-gen  OK        537.1      /usr/bin/cut
10:06:30.598  kali       2807    xfce4-panel-gen  OK        9078.3     /usr/bin/head
10:06:30.673  kali       2809    xfce4-panel-gen  OK        1632.0     /usr/sbin/ip
10:06:30.673  kali       2810    xfce4-panel-gen  OK        4328.7     /usr/bin/grep
10:06:31.595  kali       2811    wrapper-2.0      OK        728.9      /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:31.598  kali       2813    xfce4-panel-gen  OK        100.3      /usr/sbin/ip
10:06:31.601  kali       2814    xfce4-panel-gen  OK        167.3      /usr/bin/cut
10:06:31.601  kali       2815    xfce4-panel-gen  OK        151.4      /usr/bin/head
10:06:31.621  kali       2817    xfce4-panel-gen  OK        3679.2     /usr/sbin/ip
10:06:31.621  kali       2818    xfce4-panel-gen  OK        1536.8     /usr/bin/grep
10:06:32.712  kali       2819    wrapper-2.0      OK        808.3      /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:32.725  kali       2822    xfce4-panel-gen  OK        341.4      /usr/bin/cut
10:06:32.726  kali       2821    xfce4-panel-gen  OK        312.7      /usr/sbin/ip
10:06:32.727  kali       2823    xfce4-panel-gen  OK        287.5      /usr/bin/head
10:06:32.757  kali       2825    xfce4-panel-gen  OK        970.8      /usr/sbin/ip
10:06:32.760  kali       2826    xfce4-panel-gen  OK        311.9      /usr/bin/grep
10:06:33.734  kali       2827    wrapper-2.0      OK        16709.9    /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:33.767  kali       2829    xfce4-panel-gen  OK        334.9      /usr/sbin/ip
10:06:33.782  kali       2831    xfce4-panel-gen  OK        16286.0    /usr/bin/head
10:06:33.783  kali       2830    xfce4-panel-gen  OK        20071.0    /usr/bin/cut
10:06:33.827  kali       2834    xfce4-panel-gen  OK        272.5      /usr/bin/grep
10:06:33.827  kali       2833    xfce4-panel-gen  OK        297.1      /usr/sbin/ip
10:06:34.867  kali       2835    wrapper-2.0      OK        14773.2    /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:34.881  kali       2837    xfce4-panel-gen  OK        302.2      /usr/sbin/ip
10:06:34.882  kali       2838    xfce4-panel-gen  OK        296.3      /usr/bin/cut
10:06:34.887  kali       2839    xfce4-panel-gen  OK        688.9      /usr/bin/head
10:06:34.897  kali       2841    xfce4-panel-gen  OK        281.6      /usr/sbin/ip
10:06:34.898  kali       2842    xfce4-panel-gen  OK        1774.8     /usr/bin/grep
10:06:35.975  kali       2843    wrapper-2.0      OK        925.3      /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:36.009  kali       2846    xfce4-panel-gen  OK        5085.7     /usr/bin/cut
10:06:36.009  kali       2845    xfce4-panel-gen  OK        413.9      /usr/sbin/ip
10:06:36.015  kali       2847    xfce4-panel-gen  OK        17889.8    /usr/bin/head
10:06:36.035  kali       2849    xfce4-panel-gen  OK        369.4      /usr/sbin/ip
10:06:36.040  kali       2850    xfce4-panel-gen  OK        3712.5     /usr/bin/grep
10:06:36.986  kali       2851    wrapper-2.0      OK        1488.7     /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:36.992  kali       2853    xfce4-panel-gen  OK        298.6      /usr/sbin/ip
10:06:36.992  kali       2854    xfce4-panel-gen  OK        374.4      /usr/bin/cut
10:06:36.992  kali       2855    xfce4-panel-gen  OK        184.4      /usr/bin/head
10:06:36.997  kali       2857    xfce4-panel-gen  OK        240.8      /usr/sbin/ip
10:06:36.998  kali       2858    xfce4-panel-gen  OK        273.6      /usr/bin/grep
10:06:37.993  kali       2859    wrapper-2.0      OK        1873.0     /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:37.995  kali       2862    xfce4-panel-gen  OK        213.1      /usr/bin/cut
10:06:37.998  kali       2863    xfce4-panel-gen  OK        319.7      /usr/bin/head
10:06:37.999  kali       2861    xfce4-panel-gen  OK        2098.4     /usr/sbin/ip
10:06:38.015  kali       2865    xfce4-panel-gen  OK        357.5      /usr/sbin/ip
10:06:38.024  kali       2866    xfce4-panel-gen  OK        1467.1     /usr/bin/grep
10:06:38.994  kali       2867    wrapper-2.0      OK        695.9      /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:38.997  kali       2869    xfce4-panel-gen  OK        215.1      /usr/sbin/ip
10:06:38.999  kali       2870    xfce4-panel-gen  OK        185.7      /usr/bin/cut
10:06:38.999  kali       2871    xfce4-panel-gen  OK        173.2      /usr/bin/head
10:06:39.003  kali       2873    xfce4-panel-gen  OK        316.0      /usr/sbin/ip
10:06:39.003  kali       2874    xfce4-panel-gen  OK        145.4      /usr/bin/grep
10:06:39.998  kali       2882    wrapper-2.0      OK        922.1      /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:40.001  kali       2884    xfce4-panel-gen  OK        71.4       /usr/sbin/ip
10:06:40.005  kali       2885    xfce4-panel-gen  OK        78.7       /usr/bin/cut
10:06:40.005  kali       2886    xfce4-panel-gen  OK        66.8       /usr/bin/head
10:06:40.005  kali       2888    xfce4-panel-gen  OK        66.0       /usr/sbin/ip
10:06:40.005  kali       2889    xfce4-panel-gen  OK        69.6       /usr/bin/grep
10:06:40.180  kali       2890    zsh              OK        6562.2     /usr/bin/seq
10:06:40.181  kali       2891    zsh              OK        142.4      /bin/true
10:06:40.182  kali       2892    zsh              OK        123.4      /bin/true
10:06:40.184  kali       2893    zsh              OK        418.5      /bin/true
10:06:40.185  kali       2894    zsh              OK        124.6      /bin/true
10:06:40.188  kali       2895    zsh              OK        159.2      /bin/true
10:06:40.189  kali       2896    zsh              OK        139.0      /bin/true
10:06:40.190  kali       2897    zsh              OK        126.4      /bin/true
10:06:40.191  kali       2898    zsh              OK        124.2      /bin/true
10:06:40.192  kali       2899    zsh              OK        111.6      /bin/true
10:06:40.193  kali       2900    zsh              OK        112.8      /bin/true
10:06:40.194  kali       2901    zsh              OK        110.4      /bin/true
10:06:40.195  kali       2902    zsh              OK        116.9      /bin/true
10:06:40.197  kali       2903    zsh              OK        130.1      /bin/true
10:06:40.198  kali       2904    zsh              OK        141.2      /bin/true
10:06:40.199  kali       2905    zsh              OK        137.8      /bin/true
10:06:40.200  kali       2906    zsh              OK        120.3      /bin/true
10:06:40.201  kali       2907    zsh              OK        147.0      /bin/true
10:06:40.202  kali       2908    zsh              OK        119.0      /bin/true
10:06:40.203  kali       2909    zsh              OK        118.1      /bin/true
10:06:40.204  kali       2910    zsh              OK        114.7      /bin/true
10:06:40.207  kali       2911    zsh              OK        1546.7     /usr/bin/sleep
10:06:41.011  kali       2912    wrapper-2.0      OK        1601.2     /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:41.016  kali       2915    xfce4-panel-gen  OK        252.7      /usr/bin/cut
10:06:41.016  kali       2916    xfce4-panel-gen  OK        280.5      /usr/bin/head
10:06:41.016  kali       2914    xfce4-panel-gen  OK        148.3      /usr/sbin/ip
10:06:41.019  kali       2919    xfce4-panel-gen  OK        129.7      /usr/bin/grep
10:06:41.019  kali       2918    xfce4-panel-gen  OK        129.3      /usr/sbin/ip
10:06:42.007  kali       2920    wrapper-2.0      OK        1895.3     /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:42.012  kali       2923    xfce4-panel-gen  OK        275.4      /usr/bin/cut
10:06:42.012  kali       2922    xfce4-panel-gen  OK        313.7      /usr/sbin/ip
10:06:42.013  kali       2924    xfce4-panel-gen  OK        224.4      /usr/bin/head
10:06:42.018  kali       2927    xfce4-panel-gen  OK        164.9      /usr/bin/grep
10:06:42.018  kali       2926    xfce4-panel-gen  OK        178.0      /usr/sbin/ip
10:06:43.014  kali       2928    wrapper-2.0      OK        1115.7     /usr/share/kali-themes/xfce4-panel-genmon-vpnip.sh
10:06:43.020  kali       2930    xfce4-panel-gen  OK        164.9      /usr/sbin/ip
10:06:43.020  kali       2932    xfce4-panel-gen  OK        121.8      /usr/bin/head
10:06:43.020  kali       2931    xfce4-panel-gen  OK        98.6       /usr/bin/cut
10:06:43.025  kali       2934    xfce4-panel-gen  OK        181.3      /usr/sbin/ip
10:06:43.025  kali       2935    xfce4-panel-gen  OK        532.3      /usr/bin/grep
10:06:43.598  kali       2936    zsh              OK        1844.4     /usr/bin/seq
10:06:43.607  kali       2937    zsh              OK        1737.4     /usr/bin/head
10:06:43.611  kali       2938    zsh              OK        620.9      /usr/bin/head
10:06:43.615  kali       2939    zsh              OK        171.9      /usr/bin/head
10:06:43.620  kali       2940    zsh              OK        192.8      /usr/bin/head
